,Have Benefits,Seeks Treatment,Care Options,Wellness Programs,Help Resources,Anonymity
835,Don't know,Yes,No,No,No,Don't know
836,Yes,Yes,Yes,No,No,Yes
837,Don't know,No,No,No,Don't know,Don't know
838,Don't know,No,No,No,No,Don't know
839,Yes,No,Yes,Yes,Yes,Yes
840,Don't know,Yes,No,No,Don't know,Don't know
841,No,No,No,No,No,Don't know
842,Yes,Yes,Yes,No,No,Don't know
843,Don't know,No,Not sure,Yes,Don't know,Don't know
844,Yes,No,No,No,No,Yes
845,Don't know,No,Not sure,Don't know,Don't know,Don't know
846,Don't know,Yes,No,Yes,Don't know,Yes
847,No,Yes,No,No,No,Don't know
848,No,Yes,Yes,No,No,Yes
849,Yes,No,Yes,Yes,Yes,Yes
850,No,Yes,Yes,No,No,Don't know
851,Yes,No,Yes,No,Don't know,Yes
852,No,No,No,No,No,Yes
853,No,No,No,No,No,Don't know
854,Don't know,No,Not sure,No,No,Don't know
855,Yes,No,Yes,Yes,Yes,Yes
856,Yes,No,Yes,Yes,Yes,Yes
857,Don't know,No,Not sure,Don't know,No,Yes
858,No,No,No,No,No,Don't know
859,No,Yes,No,No,No,No
860,No,Yes,No,No,No,No
861,No,Yes,Not sure,Don't know,Don't know,Don't know
862,Don't know,No,No,Don't know,Don't know,Don't know
863,No,Yes,Yes,No,No,Don't know
864,Yes,Yes,Yes,Yes,Yes,Yes
865,No,No,No,No,No,No
866,Yes,Yes,Yes,No,No,Don't know
867,No,No,Yes,No,No,Don't know
868,No,No,Yes,No,No,Yes
869,Don't know,No,No,No,Don't know,Don't know
870,Yes,Yes,Yes,Don't know,Yes,Yes
871,Don't know,Yes,No,No,No,Don't know
872,Yes,No,Yes,Yes,Yes,Yes
873,Don't know,No,Not sure,Don't know,Don't know,Don't know
874,Yes,No,Yes,No,No,Yes
875,Don't know,Yes,Not sure,No,Don't know,Don't know
876,Yes,No,No,Yes,No,Yes
877,Don't know,No,Not sure,No,Don't know,Don't know
878,No,No,No,No,Yes,Don't know
879,Yes,Yes,Yes,No,Don't know,Yes
880,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
881,Yes,No,Yes,Don't know,Don't know,Yes
882,Yes,No,No,Yes,Don't know,Don't know
883,Yes,No,No,No,Don't know,Don't know
884,Yes,Yes,Yes,No,Don't know,Don't know
885,Don't know,No,No,No,No,Don't know
886,Don't know,Yes,Not sure,No,No,Don't know
887,Yes,No,Yes,Yes,Yes,Don't know
888,No,No,No,No,No,Yes
889,Yes,No,No,Yes,Yes,Don't know
890,Yes,No,Not sure,Don't know,Yes,Don't know
891,No,Yes,Yes,No,No,Don't know
892,Don't know,No,Not sure,Don't know,Don't know,Don't know
893,Yes,No,No,Don't know,Yes,Don't know
894,Don't know,Yes,Not sure,No,Don't know,Don't know
895,Don't know,No,Not sure,No,Don't know,Don't know
896,Yes,No,Yes,Yes,Yes,Yes
897,No,Yes,Not sure,No,No,Yes
898,No,No,Yes,No,No,Yes
899,Don't know,No,No,No,Don't know,Don't know
900,No,Yes,No,No,No,Don't know
901,No,Yes,No,No,No,Don't know
902,Yes,Yes,Yes,Yes,Yes,Yes
903,No,No,Yes,No,No,Yes
904,No,No,Yes,No,No,Yes
905,Yes,Yes,Yes,No,Yes,Yes
906,Yes,No,No,Yes,Yes,Don't know
907,Yes,Yes,Yes,Yes,No,Don't know
908,Yes,Yes,Yes,Don't know,Don't know,Don't know
909,Yes,Yes,Yes,Yes,Yes,Yes
910,No,Yes,No,No,No,Don't know
911,Yes,Yes,Yes,No,Yes,Don't know
912,No,Yes,No,No,No,Don't know
913,Don't know,Yes,Yes,No,Yes,Don't know
914,Yes,Yes,Yes,No,No,Yes
915,No,Yes,No,No,No,Don't know
916,No,No,Yes,No,No,Yes
917,No,Yes,No,No,No,Yes
918,Yes,No,Yes,Yes,Yes,Yes
919,Don't know,Yes,Not sure,No,Don't know,Don't know
920,Don't know,No,Not sure,No,Don't know,Don't know
921,Yes,Yes,Yes,No,Yes,Yes
922,Yes,Yes,No,No,No,Don't know
923,No,Yes,Yes,Don't know,No,Yes
924,Yes,No,No,Don't know,Don't know,Don't know
925,Yes,No,No,Yes,No,Don't know
926,Yes,No,Not sure,No,Don't know,Don't know
927,Yes,No,Yes,Yes,Yes,Don't know
928,Yes,No,No,No,No,Yes
929,Don't know,No,No,Don't know,Don't know,Don't know
930,Yes,Yes,Not sure,Yes,Yes,Yes
931,Don't know,No,No,No,Yes,Don't know
932,Yes,Yes,Yes,No,Yes,Yes
933,No,Yes,Not sure,No,No,Don't know
934,Don't know,Yes,Not sure,No,Yes,Yes
935,No,Yes,No,No,No,Yes
936,Don't know,Yes,No,No,Don't know,Don't know
937,Don't know,Yes,No,No,Don't know,Don't know
938,Yes,Yes,Yes,Yes,Yes,Yes
939,Yes,Yes,Yes,Yes,Yes,Yes
940,Yes,Yes,Yes,Don't know,Don't know,Don't know
941,Yes,Yes,Yes,Yes,Yes,Yes
942,Yes,Yes,Yes,No,Don't know,Yes
943,Yes,No,Yes,Yes,Yes,Don't know
944,Don't know,Yes,No,Don't know,Don't know,Don't know
945,Yes,Yes,Yes,No,No,Yes
946,Yes,No,Yes,Yes,Yes,Don't know
947,Yes,Yes,Yes,Yes,Yes,Don't know
948,Yes,Yes,Yes,Don't know,Yes,Don't know
949,Yes,Yes,Yes,Don't know,Don't know,Yes
950,No,Yes,Yes,No,No,Yes
951,Don't know,Yes,Yes,No,No,No
952,No,Yes,No,No,No,Don't know
953,Don't know,Yes,No,No,Don't know,Don't know
954,No,No,No,No,No,Yes
955,Don't know,Yes,Not sure,Yes,No,Yes
956,Don't know,No,No,No,Don't know,Don't know
957,Yes,Yes,Yes,Yes,Yes,Yes
958,Yes,Yes,Not sure,Don't know,Don't know,Don't know
959,Don't know,No,Not sure,Don't know,Don't know,Don't know
960,Don't know,No,No,No,No,Don't know
961,No,No,Yes,No,No,Yes
962,Don't know,Yes,No,No,No,Don't know
963,Don't know,No,Not sure,No,No,Don't know
964,Yes,Yes,Yes,Yes,Yes,Don't know
965,No,Yes,Yes,No,No,No
966,No,Yes,No,No,No,Don't know
967,Don't know,No,Not sure,Don't know,Don't know,Don't know
968,Don't know,No,No,No,No,Don't know
969,No,Yes,Yes,Yes,Yes,Yes
970,No,No,Not sure,No,No,Don't know
971,No,Yes,Yes,No,No,No
972,Don't know,Yes,Not sure,No,Don't know,Don't know
973,Yes,No,Yes,Yes,Yes,Yes
974,Don't know,No,Not sure,No,No,Don't know
975,Don't know,No,No,Don't know,Don't know,Don't know
976,Yes,No,Yes,Yes,Yes,Yes
977,Yes,No,Yes,Don't know,No,Yes
978,Yes,No,No,No,No,No
979,No,Yes,No,No,No,Don't know
980,No,Yes,No,No,No,Don't know
981,No,Yes,Yes,No,No,Yes
982,Yes,Yes,Yes,No,Yes,No
983,Don't know,Yes,Not sure,No,Don't know,Don't know
984,Yes,No,Not sure,Yes,No,Yes
985,No,Yes,No,No,No,Don't know
986,Don't know,No,Not sure,No,No,Don't know
987,No,No,No,No,No,No
988,Yes,No,Not sure,Yes,Yes,Yes
989,Yes,Yes,Yes,Yes,Yes,Yes
990,No,No,No,No,No,Yes
991,Yes,No,No,No,Yes,Don't know
992,Yes,Yes,Yes,Yes,Don't know,Yes
993,No,No,Yes,No,No,Yes
994,Don't know,Yes,No,No,No,Don't know
995,Don't know,No,Not sure,No,Don't know,Don't know
996,Yes,Yes,Yes,No,No,Yes
997,Yes,No,Not sure,No,Don't know,Don't know
998,No,No,No,No,No,Don't know
999,No,No,No,No,No,Don't know
1000,Yes,Yes,Yes,No,Don't know,Yes
1001,Don't know,Yes,No,No,Don't know,Don't know
1002,Yes,Yes,Yes,No,No,Yes
1003,Don't know,Yes,No,No,Don't know,Don't know
1004,No,Yes,Yes,No,No,Yes
1005,Don't know,No,No,No,Don't know,Don't know
1006,Yes,Yes,Yes,No,Yes,Yes
1007,Don't know,No,No,No,No,Don't know
1008,No,Yes,Yes,No,No,Yes
1009,Don't know,No,Not sure,No,No,Don't know
1010,Yes,No,Yes,Yes,Yes,Yes
1011,No,No,Yes,Don't know,Don't know,Yes
1012,Yes,No,Yes,No,Don't know,Don't know
1013,Don't know,No,Not sure,Don't know,Don't know,Don't know
1014,Yes,No,Not sure,Yes,Yes,Yes
1015,Don't know,No,Not sure,No,No,Yes
1016,Don't know,No,Not sure,No,No,Don't know
1017,Yes,Yes,Yes,Yes,Yes,Don't know
1018,Yes,Yes,No,No,No,Don't know
1019,Don't know,No,No,No,No,Don't know
1020,Don't know,No,No,No,No,Don't know
1021,Yes,Yes,Yes,Yes,Yes,Yes
1022,Yes,No,Yes,Yes,Yes,Don't know
1023,No,No,No,No,No,Don't know
1024,Don't know,No,No,No,No,Don't know
1025,Don't know,Yes,No,No,Don't know,Don't know
1026,Yes,No,Yes,Yes,Yes,Don't know
1027,Don't know,No,Not sure,No,No,Don't know
1028,Yes,No,Yes,Yes,No,Don't know
1029,Yes,No,Not sure,Yes,Don't know,Don't know
1030,Don't know,No,Not sure,No,No,Don't know
1031,Don't know,Yes,Not sure,Don't know,Don't know,Yes
1032,Yes,No,Not sure,Yes,Don't know,Don't know
1033,No,Yes,No,No,No,No
1034,Don't know,No,No,No,Don't know,Don't know
1035,No,No,Yes,No,No,Don't know
1036,No,Yes,No,No,No,Yes
1037,Don't know,No,No,Don't know,Don't know,Yes
1038,No,No,Not sure,No,No,Don't know
1039,No,No,No,No,No,Don't know
1040,Don't know,Yes,No,No,No,Don't know
1041,Yes,No,No,Don't know,Yes,Yes
1042,Yes,Yes,Yes,No,Yes,Don't know
1043,Yes,Yes,Yes,No,No,Yes
1044,Yes,Yes,Yes,No,No,Don't know
1045,Yes,Yes,Not sure,No,No,Yes
1046,No,Yes,Not sure,No,No,Don't know
1047,No,No,No,No,No,Don't know
1048,No,Yes,Yes,Yes,Yes,Yes
1049,No,Yes,Yes,Yes,Yes,Yes
1050,Yes,Yes,Yes,No,No,Don't know
1051,No,No,No,No,No,Don't know
1052,Don't know,Yes,Not sure,No,No,Yes
1053,Don't know,No,Not sure,Don't know,Don't know,Don't know
1054,Don't know,No,No,No,Don't know,Don't know
1055,Yes,Yes,Yes,No,Don't know,Yes
1056,Don't know,No,No,No,Don't know,Don't know
1057,Don't know,No,No,No,No,No
1058,Yes,Yes,Not sure,Don't know,Don't know,Don't know
1059,Yes,Yes,Yes,Don't know,Yes,Yes
1060,Yes,Yes,No,No,No,Don't know
1061,Don't know,Yes,Not sure,No,No,Yes
1062,Don't know,No,No,No,No,Yes
1063,Don't know,Yes,No,No,No,Don't know
1064,No,Yes,No,No,No,Don't know
1065,Don't know,Yes,No,No,No,Yes
1066,Yes,No,Not sure,Don't know,Don't know,Don't know
1067,Yes,No,Yes,No,Don't know,Don't know
1068,Yes,No,Yes,Yes,Yes,Yes
1069,No,No,No,No,No,Don't know
1070,No,Yes,No,No,No,Don't know
1071,Yes,No,Not sure,No,Yes,Don't know
1072,Yes,No,Yes,Yes,Yes,Don't know
1073,Don't know,No,No,No,No,Don't know
1074,Yes,Yes,Yes,No,No,Don't know
1075,Yes,Yes,Yes,Yes,Yes,Yes
1076,Yes,Yes,Not sure,No,Don't know,Don't know
1077,Yes,Yes,Yes,Yes,Yes,Yes
1078,Yes,Yes,Yes,No,Don't know,Don't know
1079,No,Yes,No,No,No,Yes
1080,No,Yes,Yes,No,No,Yes
1081,Don't know,Yes,Not sure,Don't know,Yes,Don't know
1082,Yes,Yes,No,No,No,Don't know
1083,Don't know,Yes,No,Yes,Don't know,Don't know
1084,Yes,Yes,Yes,Yes,Yes,Yes
1085,Don't know,No,No,No,No,Yes
1086,Don't know,Yes,No,No,No,Don't know
1087,Yes,No,Not sure,Yes,Yes,Don't know
1088,Yes,Yes,Yes,Yes,Don't know,Yes
1089,Yes,Yes,Yes,Don't know,Don't know,Don't know
1090,No,No,Yes,No,No,Yes
1091,Yes,No,Yes,No,Don't know,Don't know
1092,No,Yes,Yes,No,No,Don't know
1093,Yes,Yes,Yes,Yes,Don't know,Yes
1094,Yes,Yes,No,No,Yes,Yes
1095,No,Yes,Yes,No,No,No
1096,Don't know,Yes,No,No,No,Don't know
1097,Yes,Yes,Not sure,Yes,Don't know,Don't know
1098,Don't know,No,Not sure,Yes,Don't know,Yes
1099,Don't know,No,No,No,Don't know,Don't know
1100,Yes,No,Not sure,No,Yes,Don't know
1101,Don't know,No,Not sure,No,No,Don't know
1102,No,Yes,Yes,No,No,No
1103,Don't know,No,No,No,No,Don't know
1104,Yes,No,No,No,No,Don't know
1105,No,Yes,Yes,No,Don't know,Don't know
1106,No,Yes,No,No,No,Don't know
1107,No,Yes,No,Don't know,Don't know,Don't know
1108,Yes,Yes,Yes,Don't know,Don't know,Don't know
1109,No,No,No,No,No,No
1110,Yes,Yes,Yes,No,Don't know,Yes
1111,Yes,Yes,No,No,No,Yes
1112,No,No,Not sure,No,No,Don't know
1113,Don't know,Yes,No,Don't know,Don't know,Don't know
1114,Yes,No,Not sure,Don't know,Don't know,Don't know
1115,Yes,No,Yes,No,No,Yes
1116,Don't know,Yes,Not sure,No,Don't know,Don't know
1117,Don't know,Yes,Yes,No,Don't know,Don't know
1118,Yes,Yes,Yes,Yes,Yes,Yes
1119,No,No,Yes,No,No,Don't know
1120,No,Yes,Yes,Yes,Yes,Yes
1121,No,Yes,No,No,Yes,Don't know
1122,Don't know,Yes,Not sure,No,Don't know,Don't know
1123,Don't know,Yes,No,Don't know,Don't know,Don't know
1124,Don't know,No,Not sure,Don't know,Don't know,Yes
1125,No,Yes,No,No,No,Don't know
1126,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
1127,Yes,Yes,Yes,Yes,Yes,Yes
1128,No,No,No,No,No,Yes
1129,Yes,No,No,No,No,Yes
1130,Yes,Yes,Yes,No,No,Don't know
1131,No,No,No,No,No,Don't know
1132,Yes,Yes,Yes,No,No,Yes
1133,No,No,Yes,No,Yes,No
1134,No,No,Yes,No,Yes,No
1135,No,Yes,No,No,No,Yes
1136,No,Yes,No,No,No,Yes
1137,No,No,No,No,No,Don't know
1138,Don't know,Yes,Not sure,No,No,Don't know
1139,Don't know,Yes,No,No,Don't know,Don't know
1140,No,Yes,Yes,No,No,Yes
1141,Don't know,No,Not sure,Don't know,Don't know,Don't know
1142,No,No,No,No,No,Don't know
1143,No,No,Yes,No,No,Yes
1144,No,No,Yes,Yes,Yes,Yes
1145,Don't know,No,No,No,No,Don't know
1146,No,Yes,Not sure,Don't know,Don't know,Don't know
1147,No,Yes,No,No,No,Yes
1148,Yes,Yes,Yes,No,Yes,Don't know
1149,Yes,No,Not sure,No,Don't know,Don't know
1150,Yes,Yes,Yes,Yes,Yes,Yes
1151,No,No,No,No,No,Don't know
1152,Don't know,Yes,Not sure,No,Don't know,Don't know
1153,Yes,No,Yes,Yes,Yes,Yes
1154,Don't know,Yes,Not sure,No,No,Don't know
1155,Don't know,No,Not sure,No,No,Don't know
1156,Don't know,No,Not sure,Don't know,Don't know,Don't know
1157,Don't know,Yes,Not sure,No,Don't know,Don't know
1158,No,Yes,Yes,No,No,Don't know
1159,Don't know,No,No,No,Don't know,Don't know
1160,Yes,Yes,Yes,No,No,Don't know
1161,Yes,No,No,No,Yes,Don't know
1162,Don't know,No,Not sure,No,No,Don't know
1163,Don't know,Yes,No,No,Don't know,Don't know
1164,Yes,Yes,Yes,No,No,Yes
1165,Yes,No,No,Yes,Don't know,Don't know
1166,Yes,Yes,Yes,Yes,Yes,Don't know
1167,Don't know,No,Not sure,No,No,Don't know
1168,No,No,No,No,No,No
1169,Yes,Yes,Yes,No,Don't know,Don't know
1170,Don't know,No,Not sure,No,No,Don't know
1171,Yes,No,No,Yes,Yes,Don't know
1172,Yes,Yes,Yes,No,Yes,Yes
1173,No,Yes,No,No,No,Don't know
1174,No,No,No,No,No,Don't know
1175,Don't know,No,No,No,No,Don't know
1176,Yes,Yes,No,No,No,Don't know
1177,No,No,No,No,Don't know,Don't know
1178,No,No,Yes,No,No,Don't know
1179,No,Yes,No,No,No,Don't know
1180,Yes,Yes,Yes,No,No,Yes
1181,Yes,Yes,Yes,Yes,Yes,Yes
1182,Yes,Yes,Not sure,Don't know,Yes,Don't know
1183,No,Yes,No,No,No,Yes
1184,No,Yes,Yes,No,No,Don't know
1185,Don't know,No,Not sure,Don't know,Don't know,Don't know
1186,Don't know,No,Not sure,Don't know,Don't know,Don't know
1187,Yes,Yes,No,No,No,Don't know
1188,Don't know,No,Not sure,No,No,Yes
1189,Yes,Yes,Yes,No,No,Yes
1190,Yes,Yes,Yes,No,Yes,Yes
1191,Yes,No,Not sure,Yes,Yes,Yes
1192,Don't know,No,No,No,No,Don't know
1193,Don't know,No,Not sure,Don't know,Don't know,Yes
1194,Don't know,No,Not sure,No,No,Don't know
1195,Yes,Yes,Yes,Yes,No,Yes
1196,Don't know,No,No,No,No,No
1197,No,Yes,No,No,No,Don't know
1198,Yes,Yes,Not sure,No,Don't know,Don't know
1199,Don't know,No,Not sure,No,Don't know,Don't know
1200,No,Yes,Yes,No,No,Don't know
1201,Yes,Yes,No,No,No,Don't know
1202,No,Yes,Yes,No,No,No
1203,Don't know,No,Not sure,No,No,Don't know
1204,No,Yes,No,No,No,Don't know
1205,No,Yes,No,No,No,Don't know
1206,Don't know,No,Not sure,No,No,Don't know
1207,No,Yes,Yes,No,No,No
1208,No,No,Yes,No,No,Don't know
1209,Don't know,Yes,Not sure,No,No,Don't know
1210,No,No,No,No,No,Don't know
1211,Don't know,No,Not sure,No,No,Don't know
1212,No,Yes,Yes,No,Yes,Yes
1213,Don't know,No,No,No,No,Don't know
1214,Yes,Yes,Yes,No,No,Yes
1215,No,No,Not sure,No,No,Don't know
1216,Don't know,No,Not sure,No,Yes,Don't know
1217,No,No,Yes,No,No,No
1218,No,No,Not sure,No,No,Don't know
1219,Yes,Yes,No,Yes,Yes,Yes
1220,Don't know,Yes,No,No,No,Don't know
1221,Don't know,Yes,Not sure,Don't know,Don't know,Don't know
1222,Don't know,Yes,Yes,Don't know,Yes,No
1223,Don't know,No,No,No,No,Don't know
1224,Yes,Yes,Yes,No,Yes,Don't know
1225,No,Yes,Yes,Yes,No,Don't know
1226,Yes,No,Not sure,Yes,Don't know,Don't know
1227,Yes,No,Yes,Don't know,Yes,Yes
1228,Don't know,Yes,Yes,No,No,Don't know
1229,No,No,No,No,No,Yes
1230,No,Yes,Yes,No,Yes,Yes
1231,No,Yes,No,No,No,Don't know
1232,Yes,Yes,Yes,Yes,Yes,Yes
1233,No,Yes,Yes,No,No,Don't know
1234,Don't know,Yes,No,No,Don't know,Don't know
1235,Yes,Yes,Yes,Yes,Don't know,Don't know
1236,Don't know,Yes,No,Yes,Don't know,Don't know
1237,No,No,Yes,No,No,Yes
1238,Yes,Yes,Yes,Yes,Yes,Yes
1239,Don't know,No,No,No,No,Don't know
1240,Don't know,Yes,No,No,No,Yes
1241,No,Yes,No,No,No,Don't know
1242,Don't know,Yes,No,No,Don't know,Don't know
1243,Yes,Yes,Yes,No,Yes,Don't know
1244,No,No,No,No,Don't know,Don't know
1245,Yes,Yes,Yes,Yes,Yes,Yes
1246,Yes,No,Not sure,Don't know,Yes,Don't know
1247,No,Yes,No,No,No,No
1248,Yes,Yes,No,No,Don't know,Don't know
1249,Yes,Yes,Yes,Don't know,No,Yes
1250,Yes,Yes,Not sure,Yes,Yes,Don't know
1251,No,Yes,Yes,No,No,Don't know
1252,Yes,Yes,Yes,Yes,No,Yes
1253,Don't know,No,No,Yes,Yes,Don't know
1254,No,Yes,No,No,No,Don't know
1255,Yes,Yes,Yes,No,No,Yes
1256,Yes,Yes,Yes,No,No,Don't know
1257,No,No,Yes,No,No,Don't know
1258,Yes,Yes,Yes,No,No,Yes
